intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
823000,0.03355759429153925,0.2743333333333333,0.03355759429153925,0.04072398190045249,1.4763061968408262,1.0,0.9989593435951284,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_018847375.1 Akkermansia muciniphila strain=Akk1573, ASM1884737v1",a0187232545fc87ef446a1156ce94909,0.2743333333333333,823000,0,10563000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9356080237055401,0.9749578816787646,0.9552829526921524,0.9749578816787646,False,1215,1215,29835,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B
233000,0.009500509683995923,0.10047434238896076,0.009500509683995923,0.009183844477962125,1.1759656652360515,1.0,0.4714392524792622,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900104605.1 Tidjanibacter massiliensis strain=Marseille-P3084, PRJEB16355",b51ff872e333f643293ed7809fddd0da,0.10047434238896076,233000,11,5410000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.91274188103355,0.9559440058852097,0.9343429434593798,0.9559440058852097,False,274,8138,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops
218000,0.008888888888888889,0.08011980531636091,0.00872579001019368,0.009183844477962125,1.280373831775701,1.0,0.6005354701464428,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_025150425.1 [Eubacterium] siraeum strain=DSM 15702, ASM2515042v1",7c24794bacadf19541e3a6bc077d6d28,0.08161737177087233,214000,12,5196000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9115517372501132,0.9520558019656582,0.9318037696078857,0.9520558019656582,False,274,8412,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum
216000,0.008807339449541285,0.06691201070592172,0.00815494393476045,0.007541478129713424,1.125,1.0,0.35968736424845393,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_009680455.1 Lachnospira eligens strain=BIOML-A1, ASM968045v1",93a7d0e658bdfb8b86a54dc8bf8c1937,0.07226497156239545,200000,13,4996000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9113870176644688,0.9497865954670536,0.9305868065657612,0.9497865954670536,False,225,8637,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
196000,0.00799184505606524,0.06747404844290658,0.007951070336391437,0.007340372046254399,1.123076923076923,1.0,0.38594641481490827,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_011405655.1 Adlercreutzia sp. 8CFCBH1 strain=8CFCBH1, ASM1140565v1",86e8ff01f78dff920413aaf9a95a3bfa,0.06782006920415225,195000,14,4801000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9096523220291072,0.9486051005167884,0.9291287112729478,0.9486051005167884,False,219,8856,29835,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia hattorii
236000,0.009622833843017329,0.04975124378109453,0.007339449541284404,0.007172783643371879,1.1888888888888889,1.0,0.6127251412872106,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000225345.1 Roseburia hominis A2-183 strain=A2-183, ASM22534v1",2a06d44b517751a885debff12d3f2b01,0.0652294085129906,180000,15,4621000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9129708710804142,0.9478809452222929,0.9304259081513535,0.9478809452222929,False,214,9070,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis
236000,0.009622833843017329,0.03585999570538974,0.006809378185524974,0.00636835930953578,1.1377245508982037,1.0,0.4365922427199565,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003460605.1 Ruminococcus sp. AF31-8BH strain=AF31-8BH, ASM346060v1",dfa72f929418f30ec9c2e12209ca3076,0.05067640111659867,167000,16,4454000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9129708710804142,0.9432005267080127,0.9280856988942134,0.9432005267080127,False,190,9260,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066145
193000,0.007869520897043833,0.05559416261292564,0.006523955147808359,0.0062678062678062675,1.16875,1.0,0.47725615501531243,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_020687245.1 Faecalibacterium longum CLA-AA-H243 strain=CLA-AA-H243, ASM2068724v1",e1ff3e2f54ab82a776eb959bb6aa8673,0.06706045865184156,160000,17,4294000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9093772478388326,0.9483956199975236,0.9288864339181782,0.9483956199975236,False,187,9447,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
186000,0.007584097859327217,0.04281767955801105,0.006320081549439347,0.00579855873973521,1.1161290322580646,1.0,0.37596909120860555,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000265365.1 Alistipes finegoldii DSM 17242 strain=DSM 17242, ASM26536v1",32e9ec95ec567198d44d9d52c769243b,0.05138121546961326,155000,18,4139000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9087187492687145,0.9434560078728871,0.9260873785708008,0.9434560078728871,False,173,9620,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii
192000,0.007828746177370031,0.041769716955207474,0.006197757390417941,0.006100217864923747,1.1973684210526316,1.0,0.7074739504615825,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003474435.1 Ruminococcus sp. AF46-10NS strain=AF46-10NS, ASM347443v1",d00958a94f0511be486249d87bf167a9,0.05276174773289365,152000,19,3987000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9092846241586539,0.9439466179222538,0.9266156210404538,0.9439466179222538,False,182,9802,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003474435
154000,0.0062793068297655455,0.035133843212237094,0.005993883792048929,0.00506116976705212,1.0272108843537415,1.0,0.1626974250762095,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_905201705.1 uncultured Marvinbryantia sp., ERR414404-mag-bin.41",b419425cca8f829db97f588a156499f0,0.036806883365200764,147000,20,3840000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.905361032439884,0.9373050602461079,0.921333046342996,0.9373050602461079,False,151,9953,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp900550755
189000,0.007706422018348624,0.03817405232247731,0.005830784913353721,0.005362828892240657,1.118881118881119,1.0,0.4008646335095528,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003473545.1 Clostridium sp. AM22-11AC strain=AM22-11AC, ASM347354v1",50efc7fa47c0997c24a73c521b04bdd3,0.05045381740523225,143000,21,3697000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9090038883122036,0.9431191203647231,0.9260615043384633,0.9431191203647231,False,160,10113,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375
142000,0.005790010193679918,0.06032285471537808,0.005790010193679918,0.005094687447628624,1.0704225352112675,1.0,0.25585777640260493,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000196555.1 Bifidobacterium longum subsp. longum JCM 1217 strain=JCM 1217, ASM19655v1",4e5724ba16e37517faabf3d6eac4a812,0.06032285471537808,142000,22,3555000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9039220222185197,0.9464286531947228,0.9251753377066212,0.9464286531947228,False,152,10265,29835,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
148000,0.006034658511722732,0.0508160237388724,0.005586136595310908,0.004725992961287079,1.0291970802919708,1.0,0.1683585780243912,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000332875.2 Anaerostipes hadrus DSM 3319 strain=DSM 3319, ASM33287v2",11a8e5e9f5fa6b11c020b08a3ba744de,0.05489614243323442,137000,23,3418000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9046558298778247,0.9446808982533766,0.9246683640656006,0.9446808982533766,False,141,10406,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
224000,0.009133537206931702,0.03399065905552673,0.005341488277268094,0.005195240489358137,1.183206106870229,1.0,0.4753709153264203,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_902363675.1 Lachnospiraceae bacterium, MGYG-HGUT-00136",ac960028eaa927f2a1488994266a8e78,0.05812143227815257,131000,24,3287000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9120371513756668,0.9457390032501001,0.9288880773128834,0.9457390032501001,False,155,10561,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp000434275
116000,0.00472986748216106,0.02283464566929134,0.00472986748216106,0.004189710072063013,1.0775862068965518,1.0,0.2675193215376363,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",63b92dc09e7b5ffbd878d8e5fce5cfec,0.02283464566929134,116000,25,3171000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9003446813723384,0.9285719789845573,0.9144583301784479,0.9285719789845573,False,125,10686,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
177000,0.007217125382262997,0.03307962529274005,0.0046075433231396535,0.004189710072063013,1.1061946902654867,1.0,0.40707964601769914,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_900209925.1 Anaerobutyricum hallii, EH1",84b0ba7d93d1acab2a2022439c432f48,0.05181498829039813,113000,26,3058000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9078354598071118,0.9436115394020423,0.9257234996045771,0.9436115394020423,False,125,10811,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii
149000,0.006075433231396534,0.038933707471062784,0.004525993883792049,0.004122674710910005,1.1081081081081081,1.0,0.3382879883877223,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003096535.1 Agathobaculum butyriciproducens strain=DSM 100391, ASM309653v1",f95593bb2ec2b82c10cb0d4ba8cefe38,0.05226236408277797,111000,27,2947000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9047752883813793,0.9437706168398869,0.9242729526106331,0.9437706168398869,False,123,10934,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens
105000,0.004281345565749235,0.02184769038701623,0.004281345565749235,0.0035863918216859393,1.019047619047619,1.0,0.1366923818514983,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",85c74583c59734abc0e8f1a3e909b79d,0.02184769038701623,105000,28,2842000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8985875512231912,0.9277678614509491,0.9131777063370702,0.9277678614509491,False,107,11041,29835,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
97000,0.003955147808358817,0.049414161996943456,0.003955147808358817,0.0033182503770739064,1.0206185567010309,1.0,0.14210359538237344,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000435975.1 Oscillibacter sp. CAG:241, MGS241",69562c3cd3eb99b63b3b579067a35f6c,0.049414161996943456,97000,29,2745000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8971923120353876,0.9427341595162047,0.9199632357757961,0.9427341595162047,False,99,11140,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975
108000,0.004403669724770643,0.030904359141184126,0.003873598369011213,0.0033852857382269145,1.063157894736842,1.0,0.24324673701665986,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_003477605.1 Clostridium sp. AF37-5 strain=AF37-5, ASM347760v1",0fa591a160b88ae9b14466b587521f5d,0.03513337670787248,95000,30,2650000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8990840412621207,0.9364502367225752,0.917767138992348,0.9364502367225752,False,101,11241,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505
86000,0.003506625891946993,0.04521276595744681,0.0034658511722731908,0.003150661974191386,1.1058823529411765,1.0,0.30768698424992985,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_000436335.1 Clostridium sp. CAG:217, MGS217",652326cbc9a7d4826b1c7880ac5dc725,0.045744680851063826,85000,31,2565000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8950773700903424,0.941308908104959,0.9181931390976508,0.941308908104959,False,94,11335,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335
218000,0.008888888888888889,0.02120141342756184,0.0034250764525993885,0.0038545332662979722,1.369047619047619,1.0,0.7033891069867831,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003584705.1 Lachnospiraceae bacterium GAM79 strain=GAM79, ASM358470v1",70a12b75803f82aa8bff2c80aad9821b,0.05502271580010096,84000,32,2481000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9115517372501132,0.9447235586683073,0.9281376479592103,0.9447235586683073,False,115,11450,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565
93000,0.0037920489296636084,0.025888958203368683,0.0033843017329255863,0.0030836266130383778,1.108433734939759,1.0,0.31092741929069734,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_003460745.1 Firmicutes bacterium AM55-24TS strain=AM55-24TS, ASM346074v1",80420d374bef48c7644cd7f87f70f8f9,0.029008109794135994,83000,33,2398000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8964517922988049,0.9329391583986076,0.9146954753487062,0.9329391583986076,False,92,11542,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215
130000,0.005300713557594291,0.016903313049357674,0.0030581039755351682,0.003452321099379923,1.3733333333333333,1.0,0.8449589076135925,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_900758315.1 uncultured Oscillospiraceae bacterium, ERS608503_14",9d2c577135181908133b3caca3c8e46e,0.029299075952219967,75000,34,2323000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9023584812865738,0.933121749514115,0.9177401154003444,0.933121749514115,False,103,11645,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Onthomonas;s__Onthomonas sp900758315
291000,0.011865443425076453,0.019559902200488997,0.0029357798165137615,0.0026814144461203286,1.1111111111111112,1.0,0.35572912430182496,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_013300825.1 Blautia wexlerae strain=MSK.20.46, ASM1330082v1",f0cfb5d5e2d9fea502197382ec21bc76,0.07905460472697637,72000,35,2251000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.9167287722039391,0.9514604247353105,0.9340945984696247,0.9514604247353105,False,80,11725,29835,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae_B
69000,0.0028134556574923547,0.03782894736842105,0.0028134556574923547,0.002513826043237808,1.0869565217391304,1.0,0.2817713347133852,/tmp/nxf.XXXX88KM8h/sourmash_database/gtdb-rs214-reps.k51.zip,"GCF_000160055.1 Dialister invisus DSM 15470 strain=DSM 15470, ASM16005v1",f5affa7513f69773c6fae6e4919ba6cc,0.03782894736842105,69000,36,2182000,ERR688478.fastq.gz,ERR688478,5ea5e0b1,24525000,51,DNA,1000,24525,True,0.8912203601409218,0.9378085785669831,0.9145144693539524,0.9378085785669831,False,75,11800,29835,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus
