"","taxon","lfc_(Intercept)","lfc_associated.phenotypeD015179","se_(Intercept)","se_associated.phenotypeD015179","W_(Intercept)","W_associated.phenotypeD015179","p_(Intercept)","p_associated.phenotypeD015179","q_(Intercept)","q_associated.phenotypeD015179","diff_(Intercept)","diff_associated.phenotypeD015179","passed_ss_(Intercept)","passed_ss_associated.phenotypeD015179","Species","Genus"
"18","GCA_000432435.1",0.854237803775514,-0.0787931880832764,NA,0.0731136237658229,NA,-1.07768134069848,1,0.281970345655571,1,0.300314691333058,FALSE,FALSE,FALSE,FALSE,"s__Fimenecus sp000432435","g__Fimenecus"
"19","GCA_000432515.1",0.128626435513004,0.189825781617359,NA,0.022544075082611,NA,8.42020712412275,1,1.27113005399067e-06,1,1.914238879526e-06,FALSE,TRUE,FALSE,FALSE,"s__Cryptobacteroides sp000432515","g__Cryptobacteroides"
"20","GCA_000432595.1",-0.171509811433807,0.66564653950821,NA,0.0258852914221883,NA,25.7152422451629,1,9.79795729950314e-10,1,1.76641681332073e-09,FALSE,TRUE,FALSE,TRUE,"s__CAG-710 sp000432595","g__CAG-710"
"21","GCA_000432735.1",0.498830733427723,0.0582886129435587,NA,0.0347291082631596,NA,1.67837920000355,1,0.0986539140304044,1,0.108959437150011,FALSE,FALSE,FALSE,TRUE,"s__Phocaeicola sp000432735","g__Phocaeicola"
"22","GCA_000432835.1",1.06615419488846,-1.22956827494898,NA,0.0312329146650479,NA,-39.367708333829,1,1.11185832312173e-28,1,1.08513095958515e-27,FALSE,TRUE,FALSE,TRUE,"s__CAG-417 sp000432835","g__CAG-417"
"23","GCA_000432915.1",0.181879043196846,0.314248078422293,NA,0.037633945611106,NA,8.35012309550547,1,2.65411882112111e-13,1,6.55457567746453e-13,FALSE,TRUE,FALSE,FALSE,"s__CAG-194 sp000432915","g__CAG-194"
"24","GCA_000433035.1",-0.549477393067391,1.13293186583136,NA,0.0274489637856393,NA,41.2741214815578,1,9.35850074991466e-46,1,4.31767193689244e-44,FALSE,TRUE,FALSE,FALSE,"s__CAG-313 sp000433035","g__CAG-313"
"25","GCA_000433115.1",-0.0574324155917002,0.560491221120924,NA,0.0241016961390615,NA,23.2552604549909,1,1.80235610829022e-16,1,5.73476943546888e-16,FALSE,TRUE,FALSE,TRUE,"s__UBA1206 sp000433115","g__UBA1206"
"26","GCA_000433355.1",1.34915306698079,-0.713365374946452,NA,0.0394502251215286,NA,-18.0826693066742,1,7.12491115685579e-31,1,8.60926764786741e-30,FALSE,TRUE,FALSE,TRUE,"s__Cryptobacteroides sp000433355","g__Cryptobacteroides"
"27","GCA_000433515.1",0.0979592417583749,0.0742553112834694,NA,0.023935225514991,NA,3.10234433500374,1,0.00407319126613183,1,0.00499310282019783,FALSE,TRUE,FALSE,FALSE,"s__CAG-272 sp000433515","g__CAG-272"
"28","GCA_000433535.1",-0.195534341768928,0.246977789157889,NA,0.0275569776854838,NA,8.96244109120828,1,8.32076869444755e-11,1,1.62727942675612e-10,FALSE,TRUE,FALSE,FALSE,"s__CAG-317 sp000433535","g__CAG-317"
"29","GCA_000433635.1",0.434419129429695,-0.128951517198606,NA,0.035329026775635,NA,-3.65001611897045,1,0.000392020529617739,1,0.000506880047849689,FALSE,TRUE,FALSE,TRUE,"s__Ruminococcus_C sp000433635","g__Ruminococcus_C"
"30","GCA_000433675.1",0.212137422541394,-0.175068167797003,NA,0.024664341160532,NA,-7.09802733661291,1,3.30315291900678e-05,1,4.55529920216288e-05,FALSE,TRUE,FALSE,TRUE,"s__CAG-433 sp000433675","g__CAG-433"
"31","GCA_000433735.1",0.69049066894105,-0.695344924976397,NA,0.0241039317239465,NA,-28.8477802268911,1,3.21502670965833e-30,1,3.79447919802698e-29,FALSE,TRUE,FALSE,FALSE,"s__Eubacterium_F sp000433735","g__Eubacterium_F"
"32","GCA_000434115.1",0.0852487544798134,-0.375026395703291,NA,0.0233458939398354,NA,-16.0639124237337,1,1.00594446778796e-17,1,3.58257415720974e-17,FALSE,TRUE,FALSE,FALSE,"s__Eubacterium_F sp000434115","g__Eubacterium_F"
"33","GCA_000434195.1",0.8001869859142,-0.53452393608308,NA,0.0231862183114247,NA,-23.0535195047181,1,8.18029494187917e-15,1,2.32577013053427e-14,FALSE,TRUE,FALSE,FALSE,"s__CAG-245 sp000434195","g__CAG-245"
"34","GCA_000434215.1",0.414229516703465,-0.310766503338551,NA,0.02962688121134,NA,-10.4893424698244,1,1.69964855208127e-16,1,5.45931417836231e-16,FALSE,TRUE,FALSE,FALSE,"s__UBA11471 sp000434215","g__UBA11471"
"35","GCA_000434235.1",1.19557198294959,-0.592558269983007,NA,0.0318305159996212,NA,-18.6160434844996,1,1.94311745430137e-29,1,2.12071421087731e-28,FALSE,TRUE,FALSE,TRUE,"s__Alistipes avistercoris","g__Alistipes"
"36","GCA_000434435.1",0.853359151378816,-0.517783303053593,NA,0.0325198065968128,NA,-15.9220904808315,1,3.01077786473656e-15,1,8.83219518123586e-15,FALSE,TRUE,FALSE,TRUE,"s__CAG-475 sp000434435","g__CAG-475"
"37","GCA_000434475.1",0.790886490056743,-0.0650126066534629,NA,0.0244207855681264,NA,-2.66218326482978,1,0.0104715682993539,1,0.0125190127489331,FALSE,TRUE,FALSE,FALSE,"s__Dialister sp000434475","g__Dialister"
"38","GCA_000434615.1",1.07212098014178,0.353289465600026,NA,0.0228729183375074,NA,15.4457538118648,1,3.07017655301445e-07,1,4.75760183406056e-07,FALSE,TRUE,FALSE,TRUE,"s__CAG-510 sp000434615","g__CAG-510"
"39","GCA_000434635.1",0.209843237153661,0.230727584008466,NA,0.0372457489491173,NA,6.19473605762825,1,3.09949453809773e-09,1,5.3777554806311e-09,FALSE,TRUE,FALSE,FALSE,"s__Faecousia sp000434635","g__Faecousia"
"40","GCA_000434775.1",0.0269875757604952,0.258104048267347,NA,0.0250646507605924,NA,10.2975321991379,1,1.15660750397629e-09,1,2.07047022316744e-09,FALSE,TRUE,FALSE,TRUE,"s__Anaerotardibacter sp000434775","g__Anaerotardibacter"
"41","GCA_000434895.1",0.348031717731306,0.113563230798621,NA,0.0328469093076766,NA,3.4573490532968,1,0.00101822898215141,1,0.00128865638015422,FALSE,TRUE,FALSE,TRUE,"s__Phascolarctobacterium_A succinatutens_A","g__Phascolarctobacterium_A"
"42","GCA_000434995.1",1.09627225259226,-0.61335341588207,NA,0.0329107570090513,NA,-18.6368674446894,1,1.50052870298955e-27,1,1.32000892359811e-26,FALSE,TRUE,FALSE,TRUE,"s__Eubacterium_R sp000434995","g__Eubacterium_R"
"43","GCA_000435055.1",-0.035385692408217,0.80549216230669,NA,0.0533177253092088,NA,15.1073992304689,1,1.18914546472981e-36,1,2.74314237886535e-35,FALSE,TRUE,FALSE,FALSE,"s__PeH17 sp000435055","g__PeH17"
"44","GCA_000435175.1",0.645443008124694,-0.606183527511415,NA,0.0445534261046166,NA,-13.6057668401983,1,1.45454814969036e-26,1,1.12699723048528e-25,FALSE,TRUE,FALSE,TRUE,"s__CAG-245 sp000435175","g__CAG-245"
"45","GCA_000435195.1",0.152241984057343,0.151509220850372,NA,0.0407533429884812,NA,3.71771270134073,1,0.000282117504514673,1,0.000367585708706537,FALSE,TRUE,FALSE,TRUE,"s__Negativibacillus sp000435195","g__Negativibacillus"
"46","GCA_000435395.1",-0.0650408827756656,0.127438259636539,NA,0.0306604484778116,NA,4.15643821155337,1,6.73945197011979e-05,1,9.16962969124878e-05,FALSE,TRUE,FALSE,TRUE,"s__Acutalibacter ornithocaccae","g__Acutalibacter"
"47","GCA_000435475.1",-0.242654138031466,0.509783361313019,NA,0.0324289147295128,NA,15.7200253405051,1,9.59946168485739e-26,1,6.62819973478248e-25,FALSE,TRUE,FALSE,TRUE,"s__Anaerotardibacter sp000435475","g__Anaerotardibacter"
"48","GCA_000435515.1",0.527810383813965,-0.0463942367211247,NA,0.0232457357122845,NA,-1.99581709502991,1,0.0861491165291403,1,0.0959839223678128,FALSE,FALSE,FALSE,FALSE,"s__CAG-582 sp000435515","g__CAG-582"
"49","GCA_000435555.1",0.540621919047306,0.127342895732988,NA,0.0502482600848839,NA,2.53427472947061,1,0.0119636436214391,1,0.0142190846320382,FALSE,TRUE,FALSE,FALSE,"s__Vescimonas sp000435555","g__Vescimonas"
"50","GCA_000435615.1",-0.122266665896353,0.331508507138379,NA,0.0258058012961857,NA,12.8462783749086,1,2.57327674465637e-16,1,8.08630308305329e-16,FALSE,TRUE,FALSE,FALSE,"s__CAG-238 sp000435615","g__CAG-238"
"51","GCA_000435675.1",0.153380180479397,-0.281840708182447,NA,0.0264534663012223,NA,-10.6542070885215,1,1.11250942481931e-12,1,2.60183655804516e-12,FALSE,TRUE,FALSE,FALSE,"s__Anaerotardibacter sp000435675","g__Anaerotardibacter"
"52","GCA_000435715.1",-0.413122002308749,0.48163451666046,NA,0.0302688898011876,NA,15.9118659397136,1,1.70903000912868e-27,1,1.47005547395391e-26,FALSE,TRUE,FALSE,FALSE,"s__Fimisoma sp000435715","g__Fimisoma"
"53","GCA_000435755.1",0.396462928444834,0.036148457219747,NA,0.0250933938546272,NA,1.44055672298314,1,0.17169884441328,1,0.186190520384059,FALSE,FALSE,FALSE,TRUE,"s__CAG-273 sp000435755","g__CAG-273"
"54","GCA_000435835.1",-0.53090035488071,0.688774237249579,NA,0.0257245934744074,NA,26.7749318540182,1,1.96234195175279e-24,1,1.24486067564318e-23,FALSE,TRUE,FALSE,FALSE,"s__Clostridium sp000435835","g__Clostridium"
"55","GCA_000435975.1",-0.159084115713924,0.81303265912667,NA,0.0504586978618586,NA,16.1128347257894,1,1.2928441446523e-38,1,3.74924801949167e-37,FALSE,TRUE,FALSE,FALSE,"s__Vescimonas sp000435975","g__Vescimonas"
"56","GCA_000436075.1",0.575320352544078,-0.689343362870127,NA,0.027581464724533,NA,-24.992993292955,1,4.15731601564916e-40,1,1.27868962299512e-38,FALSE,TRUE,FALSE,FALSE,"s__Anaerotardibacter sp000436075","g__Anaerotardibacter"
"57","GCA_000436335.1",-0.0429756547674554,0.763168575889766,NA,0.0423032156153675,NA,18.0404388836231,1,4.11210404429309e-40,1,1.27868962299512e-38,FALSE,TRUE,FALSE,FALSE,"s__CAG-217 sp000436335","g__CAG-217"
"58","GCA_000436375.1",0.427033667445551,0.0644121537134219,NA,0.0342276380735516,NA,1.88187550584141,1,0.0628203258601442,1,0.0709261743582273,FALSE,FALSE,FALSE,TRUE,"s__Scatacola_A faecigallinarum","g__Scatacola_A"
"59","GCA_000436475.1",0.578665925089877,-0.329183863392115,NA,0.0364130457941798,NA,-9.04027268833226,1,7.32072127157627e-14,1,1.92003413195088e-13,FALSE,TRUE,FALSE,FALSE,"s__Lachnospira sp000436475","g__Lachnospira"
"60","GCA_000436535.1",0.10179237518589,0.236179248059725,NA,0.0372419543661615,NA,6.34175225439619,1,1.08995993851257e-08,1,1.82258539965447e-08,FALSE,TRUE,FALSE,FALSE,"s__Lachnospira sp000436535","g__Lachnospira"
"61","GCA_000436735.1",0.103053646909754,-0.0129175361019832,NA,0.0242525391328473,NA,-0.532626131689768,1,0.596972214425337,1,0.615779265896054,FALSE,FALSE,FALSE,TRUE,"s__CAG-170 sp000436735","g__CAG-170"
"62","GCA_000436755.1",0.415576813547141,-0.267888902114553,NA,0.0335674792191205,NA,-7.98060826569187,1,3.15957069441426e-11,1,6.38837500962246e-11,FALSE,TRUE,FALSE,TRUE,"s__Butyribacter sp000436755","g__Butyribacter"
"63","GCA_000436835.1",0.517992573790267,0.017616367307405,NA,0.0464822776520768,NA,0.378991052014807,1,0.705369879616175,1,0.720272060171446,FALSE,FALSE,FALSE,TRUE,"s__Eubacterium_R sp000436835","g__Eubacterium_R"
"64","GCA_000436875.1",-0.279822379361884,0.44120765379185,NA,0.0245116964405209,NA,17.9998824178681,1,6.84016141649926e-20,1,2.95436759053053e-19,FALSE,TRUE,FALSE,FALSE,"s__Dysosmobacter sp000436875","g__Dysosmobacter"
"65","GCA_000437255.1",0.947371156418246,-1.3467157649647,NA,0.0287686518789676,NA,-46.8119177301201,1,3.89127822481711e-28,1,3.57546471339089e-27,FALSE,TRUE,FALSE,TRUE,"s__Ruminococcus_C sp000437255","g__Ruminococcus_C"
"66","GCA_000437315.1",0.718977393955814,-0.536015299193868,NA,0.0361249656779176,NA,-14.8378078465974,1,1.67390628965543e-14,1,4.66762330769301e-14,FALSE,TRUE,FALSE,TRUE,"s__UBA6448 sp000437315","g__UBA6448"
"67","GCA_000437355.1",-0.010117412755503,1.50033096047342,NA,0.0236332883208831,NA,63.4838004810223,1,2.28843424451601e-14,1,6.22724063856233e-14,FALSE,TRUE,FALSE,TRUE,"s__Onthocola_B sp000437355","g__Onthocola_B"
"68","GCA_000437395.1",0.102453309854268,-0.051265295735038,NA,0.0259264650235322,NA,-1.97733457640704,1,0.0582961051848003,1,0.0660385566546566,FALSE,FALSE,FALSE,FALSE,"s__CAG-288 sp000437395","g__CAG-288"
"69","GCA_000437595.1",0.652669268547286,0.0485895037281249,NA,0.0417435403505849,NA,1.16400054523512,1,0.245824470019774,1,0.263754584640666,FALSE,FALSE,FALSE,FALSE,"s__UBA11524 sp000437595","g__UBA11524"
"70","GCA_000437675.1",0.905698260238359,-0.58581420496538,NA,0.0274749180846961,NA,-21.3217816759092,1,1.24585515028839e-12,1,2.8870844236135e-12,FALSE,TRUE,FALSE,TRUE,"s__Alloprevotella sp000437675","g__Alloprevotella"
"71","GCA_000437755.1",-0.121065935789502,0.447384982431601,NA,0.027371528296882,NA,16.3449032724477,1,3.01003034712153e-21,1,1.43435718419171e-20,FALSE,TRUE,FALSE,TRUE,"s__CAG-303 sp000437755","g__CAG-303"
"72","GCA_000437855.1",0.581403657481955,0.102131581912196,NA,0.0283444217953327,NA,3.60323391493606,1,0.00120402180322749,1,0.00151811444754771,FALSE,TRUE,FALSE,FALSE,"s__CAG-273 sp000437855","g__CAG-273"
"73","GCA_000437915.1",0.350137638042314,0.106731294256992,NA,0.027819050736456,NA,3.83662603257428,1,0.000265146468661959,1,0.000347009044560775,FALSE,TRUE,FALSE,FALSE,"s__CAG-314 sp000437915","g__CAG-314"
"74","GCA_000438015.1",0.568541557829828,-0.48360723460539,NA,0.0286777309615561,NA,-16.8635111074056,1,1.13956073463082e-18,1,4.43162507911984e-18,FALSE,TRUE,FALSE,FALSE,"s__Merdousia sp000438015","g__Merdousia"
"75","GCA_000438075.1",1.0859210371397,-1.29856014451076,NA,0.0254852260339936,NA,-50.9534481969539,1,2.34876765242182e-16,1,7.40443764180317e-16,FALSE,TRUE,FALSE,TRUE,"s__Onthocola_B sp000438075","g__Onthocola_B"
"76","GCA_000438155.1",0.129864141394383,-0.0650138459717541,NA,0.0312972865537915,NA,-2.07729976399113,1,0.0406885553337888,1,0.046455437192121,FALSE,TRUE,FALSE,FALSE,"s__CAG-95 sp000438155","g__CAG-95"
"77","GCA_000438175.1",-0.194303060424268,0.399313614815885,NA,0.0233580882759301,NA,17.095303780805,1,6.09910515647679e-15,1,1.75370870646571e-14,FALSE,TRUE,FALSE,FALSE,"s__Stercorousia faecigallinarum","g__Stercorousia"
"78","GCA_000438255.1",-0.384273226342596,1.1059569500546,NA,0.0231383323218052,NA,47.7976085170306,1,4.28589569393489e-22,1,2.17509206467195e-21,FALSE,TRUE,FALSE,TRUE,"s__CAG-269 sp000438255","g__CAG-269"
"79","GCA_000438355.1",0.23562017874683,-0.143584127920319,NA,0.0324272626661956,NA,-4.42788308709144,1,5.82106457946053e-05,1,7.95205995713652e-05,FALSE,TRUE,FALSE,TRUE,"s__CAG-273 sp000438355","g__CAG-273"
"80","GCA_000508865.1",-0.664151056511862,0.771743699243944,NA,0.0226157276712479,NA,34.1242037604249,1,2.25048894309236e-16,1,7.13826961637109e-16,FALSE,TRUE,FALSE,FALSE,"s__Thomasclavelia sp000508865","g__Thomasclavelia"
"81","GCA_000509105.1",-0.296670160993406,0.0912619422585221,NA,0.0230132837017094,NA,3.96562018012854,1,0.000460749215290833,1,0.000591975257620501,FALSE,TRUE,FALSE,FALSE,"s__Muricomes sp000509105","g__Muricomes"
"82","GCA_000613465.1",-0.670334937791345,1.04003039546064,NA,0.0348358038030801,NA,29.8552145183653,1,2.52150596017277e-61,1,6.39832137393841e-59,FALSE,TRUE,TRUE,TRUE,"s__Bacteroides nordii","g__Bacteroides"
"83","GCA_000803105.1",-0.41079072828818,0.352703441211583,NA,0.0257480849676581,NA,13.6982397585922,1,4.19186363438904e-22,1,2.1380610999522e-21,FALSE,TRUE,FALSE,FALSE,"s__Coprobacter secundus","g__Coprobacter"
"84","GCA_000980495.1",-0.0781873935624199,0.494170682691192,NA,0.0361500667906658,NA,13.6699797970716,1,1.57330518207763e-24,1,1.01069921506886e-23,FALSE,TRUE,FALSE,FALSE,"s__Parasutterella gallistercoris","g__Parasutterella"
"85","GCA_000980705.1",0.340049684143867,-0.122156742162723,NA,0.0434759045987438,NA,-2.80975734237518,1,0.00575631180582876,1,0.00698882354415812,FALSE,TRUE,FALSE,TRUE,"s__Ruminococcus_C sp000980705","g__Ruminococcus_C"
"86","GCA_001305115.1",0.380809578286694,-0.699133631111436,NA,0.0339088507613913,NA,-20.6180279016554,1,1.09169263671148e-26,1,8.65678145517303e-26,FALSE,TRUE,FALSE,FALSE,"s__Anaeromassilibacillus sp001305115","g__Anaeromassilibacillus"
"87","GCA_001312505.1",0.544143515644282,-0.118051811826355,NA,0.0607753336032942,NA,-1.94242968038527,1,0.0527547690552738,1,0.0598280341800032,FALSE,FALSE,FALSE,FALSE,"s__Mediterraneibacter faecis","g__Mediterraneibacter"
"88","GCA_001414325.1",0.174004463516683,-0.138529709936816,NA,0.031578518949234,NA,-4.38683366245004,1,3.14826374063542e-05,1,4.35946479774209e-05,FALSE,TRUE,FALSE,FALSE,"s__Butyribacter intestini","g__Butyribacter"
"89","GCA_001487125.1",0.353881587205078,-0.376081645515297,NA,0.023030617642901,NA,-16.3296378476077,1,1.22452261532761e-12,1,2.84633598837509e-12,FALSE,TRUE,FALSE,FALSE,"s__Gabonibacter massiliensis","g__Gabonibacter"
"90","GCA_001765415.1",0.659271629812447,-0.23664714656281,NA,0.0238586395078943,NA,-9.9187192331109,1,3.82959921577406e-06,1,5.63339594784156e-06,FALSE,TRUE,FALSE,FALSE,"s__Stercorousia sp001765415","g__Stercorousia"
"91","GCA_001915545.1",0.193617630934105,-0.172380381505266,NA,0.0435408783804603,NA,-3.95904694432219,1,9.45844984037601e-05,1,0.000127156643549426,FALSE,TRUE,FALSE,FALSE,"s__43-108 sp001915545","g__43-108"
"92","GCA_001915925.1",0.416822675373138,-0.027153777714399,NA,0.027782042547546,NA,-0.977385937982354,1,0.335085765284391,1,0.355393993483445,FALSE,FALSE,FALSE,TRUE,"s__Merdicola sp001915925","g__Merdicola"
"93","GCA_001916005.1",-0.133044226924336,0.31569542235072,NA,0.0253856736135565,NA,12.4359679068013,1,2.27575860453578e-13,1,5.66150731275445e-13,FALSE,TRUE,FALSE,TRUE,"s__CAG-269 sp001916005","g__CAG-269"
"94","GCA_001916035.1",0.302360546065689,-0.631055972624464,NA,0.0288010820441043,NA,-21.9108425043928,1,7.79944372073201e-21,1,3.58209745544932e-20,FALSE,TRUE,FALSE,TRUE,"s__CAG-269 sp001916035","g__CAG-269"
"95","GCA_001916055.1",0.787100110771165,-1.43574310728498,NA,0.0278474289083626,NA,-51.5574745521235,1,4.26389041298334e-26,1,3.02646767075391e-25,FALSE,TRUE,FALSE,TRUE,"s__CAG-269 sp001916055","g__CAG-269"
"96","GCA_001916215.1",-1.04459159372586,1.72948089144602,NA,0.0285642270132598,NA,60.5470923698783,1,2.55224460753317e-51,1,2.35502570604197e-49,FALSE,TRUE,FALSE,FALSE,"s__CAG-307 sp001916215","g__CAG-307"
"97","GCA_001916715.1",0.297858330561685,-0.218976541495418,NA,0.0334857263390414,NA,-6.53939948258224,1,1.13075374718169e-09,1,2.02776511199544e-09,FALSE,TRUE,FALSE,FALSE,"s__F23-B02 sp001916715","g__F23-B02"
"98","GCA_001916775.1",0.588193332838909,-0.459037493700986,NA,0.0481859363091004,NA,-9.52637904048142,1,2.75959689211895e-15,1,8.11881404492967e-15,FALSE,TRUE,FALSE,TRUE,"s__CAG-302 sp001916775","g__CAG-302"
"99","GCA_001916965.1",0.237764438824128,-0.156718065757527,NA,0.0343326893858528,NA,-4.56468947119837,1,2.04718071243489e-05,1,2.86210526600745e-05,FALSE,TRUE,FALSE,TRUE,"s__COE1 sp001916965","g__COE1"
"100","GCA_001917125.1",0.267244356524038,0.255245293369628,NA,0.033759017758431,NA,7.56080331471976,1,4.055021861047e-11,1,8.07028860580923e-11,FALSE,TRUE,FALSE,FALSE,"s__Scatocola faecipullorum","g__Scatocola"
"101","GCA_001917135.1",0.423406814643352,-0.060134571456612,NA,0.0332416416736651,NA,-1.80901328661671,1,0.0750035518545881,1,0.0842130587747864,FALSE,FALSE,FALSE,TRUE,"s__CAG-267 sp001917135","g__CAG-267"
"102","GCA_001917175.1",0.143479596188436,0.521495196701796,NA,0.0335044410252309,NA,15.5649573830848,1,4.80332928304265e-25,1,3.25025281485886e-24,FALSE,TRUE,FALSE,FALSE,"s__51-20 sp001917175","g__51-20"
"103","GCA_001940855.1",-0.377461871391646,1.15768477374224,NA,0.0346133074170921,NA,33.4462338369485,1,2.08366138721569e-61,1,6.39832137393841e-59,FALSE,TRUE,FALSE,FALSE,"s__Phil1 sp001940855","g__Phil1"
"104","GCA_002102825.1",1.71822534862489,-1.87894073026731,NA,0.0227811593469589,NA,-82.4778362527954,1,5.20813639309594e-13,1,1.25042702587104e-12,FALSE,TRUE,FALSE,TRUE,"s__Zag111 sp002102825","g__Zag111"
"105","GCA_002305315.1",-0.313022762828488,0.0646162161335841,NA,0.0236788445993682,NA,2.72885849064225,1,0.0110431223359483,1,0.013155832360314,FALSE,TRUE,FALSE,FALSE,"s__Faecimorpha stercoravium","g__Faecimorpha"
"106","GCA_002314265.1",0.413803611631266,-0.494180969780618,NA,0.0278343015351625,NA,-17.7543873036056,1,3.24486139873331e-22,1,1.67184483234229e-21,FALSE,TRUE,FALSE,FALSE,"s__Merdimorpha sp002314265","g__Merdimorpha"
"107","GCA_002320515.1",0.902064934308946,0.259056610958754,NA,0.0264136061435881,NA,9.8076956834476,1,1.10133545068904e-09,1,1.97850527867147e-09,FALSE,TRUE,FALSE,FALSE,"s__Dialister sp002320515","g__Dialister"
"108","GCA_002320595.1",-0.669069107166381,0.885920173146159,NA,0.0263633819157807,NA,33.6041929664518,1,5.18934940387654e-33,1,7.63360818106477e-32,FALSE,TRUE,FALSE,FALSE,"s__UBA1685 sp002320595","g__UBA1685"
"109","GCA_002404795.1",-0.364179942789842,0.678234203782208,NA,0.0310761587331805,NA,21.824904731808,1,4.10532680114894e-46,1,1.98424128722199e-44,FALSE,TRUE,FALSE,TRUE,"s__CAG-170 sp002404795","g__CAG-170"
"110","GCA_002431395.1",-0.34661665922035,0.109303188899267,NA,0.0226295688517179,NA,4.83010478968845,1,0.000220489601451949,1,0.000289517393885806,FALSE,TRUE,FALSE,FALSE,"s__Eubacterium_F sp002431395","g__Eubacterium_F"
